Adjective,Count
great,48
good,28
cool,15
Great,13
awesome,9
delicious,8
friendly,8
unique,8
nice,8
bad,8
best,7
Good,6
outside,5
amazing,5
right,5
open,5
helpful,5
local,5
outdoor,5
many,4
little,4
much,4
new,4
able,3
incredible,3
hard,3
overall,3
different,3
eclectic,3
funky,3
sure,3
Best,3
Such,3
favorite,3
Common,3
casual,3
excellent,3
large,3
deli,3
low,3
several,2
uptown,2
Eclectic,2
Nice,2
hidden,2
small,2
mic,2
sandwich,2
upstairs,2
comfortable,2
pleasant,2
hot,2
pandemic,2
wide,2
quirky,2
Next,2
available,2
fantastic,2
tasty,2
old,2
patio,2
wrong,2
various,2
warmer,2
Overall,2
fun,2
happy,2
packed,1
funny,1
Casual,1
lucky,1
less,1
nugget,1
wonderful,1
pepper,1
sourdough,1
Double,1
Dutch,1
entire,1
better,1
terrific,1
clean,1
southern,1
horrible,1
busy,1
batman,1
kinda,1
go-to,1
careful,1
misogynistic,1
tasteless,1
single,1
spicey,1
quick,1
warm,1
balcony,1
convenient,1
special,1
dietary,1
multiple,1
positive,1
comparable,1
cheaper,1
bigger,1
unexpected,1
dive,1
retail,1
pretty,1
nostalgic,1
familiar,1
accessible,1
honest,1
minor,1
vibes,1
cold,1
huge,1
reasonable,1
vegetarian,1
friends/do,1
monsterous,1
fried,1
easy,1
purple,1
Phenomenal,1
wish,1
setup,1
first,1
veggie,1
top,1
Delicious,1
thirsty,1
ready,1
lunch,1
laid-back,1
relaxed,1
busiest,1
late,1
Cool,1
original,1
lifelong,1
interested,1
extreme,1
Long-time,1
glad,1
colorful,1
upbeat,1
helluva,1
Urban,1
typical,1
affordable,1
next,1
bread,1
non-alcoholic,1
industrial-style,1
Amazing,1
meet,1
larger,1
live,1
ideal,1
square,1
avocado,1
personal,1
address,1
drink,1
common,1
terrible,1
HUNGRY,1
earlier,1
filling,1
post-gym,1
salad,1
super,1
grilled,1
healthy,1
frequent,1
interesting,1
Excellent,1
fabulous,1
exquisite,1
simple,1
cheese,1
free,1
private,1
seating,1
excited,1
hippsterious,1
inefficient,1
serious,1
loco,1
alcoholic,1
greatest,1
bottled,1
South,1
End,1
Large,1
Horrible,1
vegan,1
croissant,1
long,1
critical,1
especial,1
expensive,1
cool/helpful,1
diet,1
Top,1
